input_data: 
1 13 20 18
2 25 35 2
3 15 10 6
4 20 2 11
5 4 21 19
6 11 39 5
7 5 41 3
8 2 24 6
Tick: 164 pid: 2, time_on_cpu: 6, time_left: 29 
Tick: 165 pid: 2, time_on_cpu: 7, time_left: 28 
Tick: 166 pid: 2, time_on_cpu: 8, time_left: 27 
Tick: 167 pid: 2, time_on_cpu: 9, time_left: 26 
Tick: 168 pid: 2, time_on_cpu: 10, time_left: 25 
Tick: 169 pid: 2, time_on_cpu: 11, time_left: 24 
Tick: 170 pid: 2, time_on_cpu: 12, time_left: 23 
Tick: 171 pid: 2, time_on_cpu: 13, time_left: 22 
Tick: 172 pid: 2, time_on_cpu: 14, time_left: 21 
Tick: 173 pid: 2, time_on_cpu: 15, time_left: 20 
Tick: 174 pid: 2, time_on_cpu: 16, time_left: 19 
Tick: 175 pid: 2, time_on_cpu: 17, time_left: 18 
Tick: 176 pid: 2, time_on_cpu: 18, time_left: 17 
Tick: 177 pid: 2, time_on_cpu: 19, time_left: 16 
Tick: 178 pid: 2, time_on_cpu: 20, time_left: 15 
Tick: 179 pid: 2, time_on_cpu: 21, time_left: 14 
Tick: 180 pid: 2, time_on_cpu: 22, time_left: 13 
Tick: 181 pid: 2, time_on_cpu: 23, time_left: 12 
Tick: 182 pid: 2, time_on_cpu: 24, time_left: 11 
Tick: 183 pid: 2, time_on_cpu: 25, time_left: 10 
Tick: 184 pid: 2, time_on_cpu: 26, time_left: 9 
Tick: 185 pid: 2, time_on_cpu: 27, time_left: 8 
Tick: 186 pid: 2, time_on_cpu: 28, time_left: 7 
Tick: 187 pid: 2, time_on_cpu: 29, time_left: 6 
Tick: 188 pid: 2, time_on_cpu: 30, time_left: 5 
Tick: 189 pid: 2, time_on_cpu: 31, time_left: 4 
Tick: 190 pid: 2, time_on_cpu: 32, time_left: 3 
Tick: 191 pid: 2, time_on_cpu: 33, time_left: 2 
Tick: 192 pid: 2, time_on_cpu: 34, time_left: 1 
Tick: 193 pid: 2, time_on_cpu: 35, time_left: 0 
Tick: 194 Tick: 195 Avg Wait Time: 82.250000
Avg Response Time: 82.250000
 Avg Turnaround Time: 106.250000
CPU Utilization:0.984615
